MOVIE_ID,NAME,ALIAS,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,DOUBAN_VOTES,GENRES,IMDB_ID,LANGUAGES,MINS,OFFICIAL_SITE,REGIONS,RELEASE_DATE,SLUG,STORYLINE,TAGS,YEAR,ACTOR_IDS,DIRECTOR_IDS
1302223,狂野的爱,愚蠢的爱 / 野恋,苏菲·玛索/弗朗索瓦·乌斯特/切基·卡尤,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554685608.jpg,安德烈·祖拉斯基,5.4,637.0,剧情/爱情,tt0088714,法语,101.0,,法国,1985-02-27,Jnjj7AuUf,米克和他的朋友们成功地抢劫了银行后，从匈牙利脱逃来到巴黎，在那里他们认识了天真无邪的雷奥。米克从布朗兄弟手中救出了以前的恋人玛丽，但玛丽却跟雷奥陷入爱河。苏菲·玛素与现在的“爱人”导演安德列·祖拉夫斯基合作的第一部电影，有许多大胆的激情演出。,苏菲·玛索/法国/情色/法国电影/苏菲玛索/SophieMarceau/1985/AndrzejZulawski,1985.0,苏菲·玛索:1040543|弗朗索瓦·乌斯特:1037275|切基·卡尤:1027887,安德烈·祖拉斯基:1041309
3217122,一页台北,,郭采洁/姚淳耀/张孝全/杨祐宁/柯宇纶/高凌风/高捷/姜康哲/曾佩瑜,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p542945429.jpg,陈骏霖,6.6,74658.0,喜剧/爱情,tt1291125,汉语普通话 / 闽南语,85.0,,中国台湾 / 美国,2010-04-02,NYfyVRYZf,台北的夜，灯火通明。小凯（姚淳耀 饰）帮女友收拾好行囊，依依惜别。她去了巴黎，相思让他拼命补习法语，希望有朝一日团聚。期间，他在书店结识了店员Susie（郭采洁 饰），两人渐渐产生了感情。小凯的爸爸（高捷 饰）开了家小吃店，小凯的朋友高高常来光顾，并讲述懵懂爱情。老主顾还包括黑道人物豹哥，后者面临中年危机，更愿意谈情，而非生意。但是他的小弟阿洪（柯宇纶 饰）却跃跃欲试，准备干一票大的，以证明自己。终于，他等到了一次机会。豹哥的合伙人把一批货落在了佛龛里。面对警察（张孝全 饰）的盯梢无从下手。为了拿到这批货，豹哥许诺资助小凯去巴黎，将此事交给了他。但是阿洪决定自己单干。于是，一场螳螂捕蝉黄雀在后的游戏开始了……,台湾电影/台湾/青春/一页台北/爱情/郭采洁/张孝全/2010,2010.0,郭采洁:1274814|姚淳耀:1314533|张孝全:1014743|杨祐宁:1051157|柯宇纶:1275416|高凌风:|高捷:1276076|姜康哲:|曾佩瑜:,陈骏霖:1308841
1294463,变形黑侠3,变形黑侠 3,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329263104.jpg,布拉德福德 梅 (Bradford May),5.0,72.0,动作/科幻/恐怖,tt0116033,英语,87.0,,美国,1999-11-06,fUBYZn7Yf,"漫画英雄人物魔侠震天雷，第三部搬上大屏幕的作品。培顿博士在进行某次人造皮肤研究时,不幸遭到毁容，众人认为他必死无疑，他却成功脱逃，并化身魔侠震天雷。曾演出「神鬼传奇」与「神鬼传奇2」的阿诺凡斯洛再次独挑大梁，取代原本由连姆尼森饰演的角色。这一次，魔侠震天雷仍努力保护人造皮肤处方，让自己有机会重返光明，回到熟悉的世界。但有位邪恶毒虫洛克却对魔侠震天雷的行动起了疑心，洛克决心揭发魔侠震天雷背后所隐藏的秘密，一场流血斗争立即上演。此系列的影迷或许会怀念1990年最初版本,原始主角连姆尼森的演出，以及导演山姆雷米的精湛手法，但这次的第三集依旧有吸引人之处，不容错过。",美国/科幻/动作/美国电影/漫画英雄/蒸气/1996/我的电影标签,1996.0,,布拉德福德 梅 (Bradford May):
30312182,创作英雄的男人 石之森章太郎,石ノ森章太郎物語,中岛健人/木村文乃/林遣都/大野拓朗/中田圭祐/佐久本宝/松川尚瑠辉/宮崎秋人/诚子,,佐久间纪佳,7.2,332.0,剧情,,日语,120.0,http://www.ntv.co.jp/24h/drama2018/,日本,2018-08-25,YBuUZZnjb,影片讲述了创造出了国民英雄的伟大漫画家石之森章太郎的人生，一直支撑着他的最爱的姐姐和家人的爱和羁绊的故事。,日本/2018/漫画/传记/剧情/超级英雄/成长/温情,2018.0,中岛健人:1314379|木村文乃:1315257|林遣都:1038106|大野拓朗:1313636|中田圭祐:1392235|佐久本宝:1366918|松川尚瑠辉:1052810|宮崎秋人:1400623|诚子:1400625,佐久间纪佳:1320559
3005365,蓝调传奇,爵士传奇 / 凯迪拉克上的唱片公司 / 蓝调倾情,艾德里安·布洛迪/杰弗里·怀特/碧昂丝·诺尔斯/茅斯·达夫/加布里埃尔·尤尼恩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719411750.jpg,达内尔·马丁,8.1,10729.0,剧情/爱情/音乐/传记/历史,tt1042877,英语,109.0,,美国,2008-12-05,3FZZJv6Yf,1941年，波兰裔移民里奥纳德·切斯（亚德里安·布洛迪 Adrien Brody 饰）为出人头地，开始经营一间酒吧。而此时密西西比的佃农麦肯利·摩根菲尔德（杰弗里·怀特 Jeffrey Wright 饰）怀揣音乐梦想背着一把吉他只身来到芝加哥，在街边他遇到了17岁的天才口琴演奏师小沃尔特，两人一拍即合，开始在切斯的酒吧驻唱。野心勃勃的切斯凭借自己敏锐的直觉和商业头脑，开办了切斯工作室（Chess Records），为沃特斯录制唱片，取得巨大成功。切斯在经营切斯工公室期间，广纳音乐人才，推陈出新，造就了一大批对美国乐坛影响深远的歌手……,音乐/传记/美国/蓝调传奇/爵士/美国电影/AdrienBrody/Beyonce,2008.0,艾德里安·布洛迪:1002665|杰弗里·怀特:1036484|碧昂丝·诺尔斯:1113823|茅斯·达夫:1036449|加布里埃尔·尤尼恩:1041122,达内尔·马丁:1014359
25889637,极光之爱,,杨丞琳/王宥胜/季芹/林柏宏/林妍柔/李运庆/魏蔓/黄嘉千/邱彦翔/夏于乔,,李思源,6.5,607.0,剧情/爱情,tt5525506,汉语普通话,110.0,http://www.facebook.com/ENIAfilm,中国台湾,2014-12-19,vMYn7eaib,这是一部关於约定、等待、错过与原谅的电影。相隔廿四年，两段关於「初恋」的故事，不同的世代，不同的爱情观，但有著同样对爱的执著。一个「北极光」传说娓娓道出母亲、女儿对爱情与亲情的依恋，穿越两代的永恒之爱就此展开…,台湾/爱情/2014/文艺/青春/温情/成长/浪漫,2014.0,杨丞琳:1018547|王宥胜:1314202|季芹:1313363|林柏宏:1275324|林妍柔:1356553|李运庆:1334336|魏蔓:1322356|黄嘉千:1314705|邱彦翔:1317174|夏于乔:1321854,李思源:1356552
30283673,我失去影子的那天,,,,苏迪德·卡丹,6.6,200.0,剧情/战争,tt8900142,阿拉伯语,94.0,,叙利亚 / 法国 / 黎巴嫩 / 卡塔尔,2018-09-03,YReiFnj7e,2012年的叙利亚迎来了史上最严酷寒冬，桑娜只希望找个煤气罐为儿子做一顿晚餐。她为了搜寻煤气罐请了一天假，突然发现自己陷入了战乱区；她发现，战争中的人们都没有了影子。本片获第75届威尼斯电影节银狮奖。,叙利亚/2018/叙利亚电影/威尼斯电影节/战争/剧情/黎巴嫩/法国,2018.0,,苏迪德·卡丹:1398128
26969047,大学一年级,一年级新生(港) / 大医新鲜人(台) / 医学新生,文森特·拉科斯特/威廉·勒布吉欧/米歇尔·勒鲁梭/达丽娜·奥乔迪,,托马斯·利蒂,7.1,359.0,剧情/喜剧,tt6690004,法语,92.0,,法国,2018-09-12,ZRY3NInzb,当安端即将展开他的「第三次」医学院第一学年时，认识了刚从高中毕业的班杰明，刚搬到巴黎正对一切新生活感到兴奋的班杰明很快地发现，原来这所新学校并不是「由你玩四年」。为了在大一最后顺利取得少数的医学系资格，所有人彻夜苦读、各自组成读书会，而安端和班杰明在这场激烈的竞争中，有办法顺利携手合作到最后吗？,法国/青春/2018/喜剧/剧情/教育/我的2019电影/编导一体,2018.0,文森特·拉科斯特:1325955|威廉·勒布吉欧:1356491|米歇尔·勒鲁梭:1422394|达丽娜·奥乔迪:1422395,托马斯·利蒂:1348845
1962503,哭泣的沙皇,,蘇霍如柯夫/瑩可夫斯基/巴拉巴史,https://img1.doubanio.com/view/subject/l/public/s2384129.jpg,緬里尼可夫,7.1,96.0,剧情,tt0372166,俄语,0.0,,俄罗斯,2005-06-26,ZnjriVBIf,本片是導演緬里尼可夫「俄羅斯十八世紀王朝」三部曲中的最後一部，背景是在彼得大帝以及凱薩琳女皇當政，將俄羅斯終結中古世紀、全盤西化後，領導無方、後續無力的一段動盪時期。,俄罗斯/历史/俄罗斯电影/传记/哭泣的沙皇/Vitali·Melnikov/2003/歐洲,2003.0,蘇霍如柯夫:|瑩可夫斯基:|巴拉巴史:,緬里尼可夫:
1304017,孙中山,,王诗槐/刘文治/张燕/辛静,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1212006321.jpg,丁荫楠,6.5,369.0,剧情,tt0348143,汉语普通话,150.0,,中国大陆,,VZZBeyjjb,20世纪末，长达三年前的封建体制在华夏大地已是积重难返，死期将至。最后一个封建往朝满清帝国早已不见入关时的雄姿飞扬，此时他就犹如一个百病缠身的耄耋老人，死亡的气息在他每一个部位四溢弥漫。外忧内患的时节，怀着一颗爱国心的有志青年们自觉开始思考国家的未来。其中以孙中山、陆皓东等为代表的青年决定武装推翻满清政府，及而发动了广州起义和惠州起义。革命失败，血染山河。几经挫折，孙文终于等到了武昌起义胜利的枪声。然而封建王朝虽然瓦解，各怀私心的军阀则格局抗衡，你争我夺，更有大总统袁世凯倒行逆施，妄图称帝。,传记/中国/中国电影/历史/丁荫楠/1986/大陆/孙中山,1986.0,王诗槐:1313725|刘文治:1305111|张燕:1368890|辛静:1356327,丁荫楠:1301489
